Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Mature,Language
xQcOW,6196161750,215250,222720,27716,3246298,FALSE,English
summit1g,6091677300,211845,310998,25610,5310163,FALSE,English
Gaules,5644590915,515280,387315,10976,1767635,TRUE,Portuguese
ESL_CSGO,3970318140,517740,300575,7714,3944850,FALSE,English
Tfue,3671000070,123660,285644,29602,8938903,FALSE,English
Asmongold,3668799075,82260,263720,42414,1563438,FALSE,English
NICKMERCS,3360675195,136275,115633,24181,4074287,FALSE,English
Fextralife,3301867485,147885,68795,18985,508816,FALSE,English
loltyler1,2928356940,122490,89387,22381,3530767,FALSE,English
Anomaly,2865429915,92880,125408,12377,2607076,FALSE,English
TimTheTatman,2834436990,108780,142067,25664,5265659,TRUE,English
LIRIK,2832930285,128490,89170,21739,2666382,FALSE,English
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,FALSE,English
Rubius,2588632635,58275,240096,42948,5751354,FALSE,Spanish
auronplay,2410022550,40575,170115,53986,3983847,FALSE,Spanish
MontanaBlack88,2408460990,67740,181600,33514,2911316,TRUE,German
sodapoppin,2329440420,115305,107833,19659,2786162,TRUE,English
풍월량 (hanryang1125),2186662470,181230,26999,12201,494445,FALSE,Korean
alanzoka,2055003870,103770,89153,19560,3445134,FALSE,Portuguese
CohhCarnage,2029212570,175230,43615,11343,1264808,FALSE,English
Lord_Kebun,1943299035,153720,34830,12367,434200,FALSE,English
LCK_Korea,1916365860,47325,140557,39848,619382,FALSE,Korean
Castro_1021,1845157080,100215,125133,17779,2411995,FALSE,English
DrDisrespect,1839882465,73065,97540,23794,4450718,FALSE,English
TheRealKnossi,1811696100,56010,288459,24595,1260160,TRUE,German
TheGrefg,1757406750,54855,538444,28887,3795667,FALSE,Spanish
YoDa,1690237110,135675,123796,12868,1792625,FALSE,Portuguese
Pestily,1659741015,138300,168112,8481,616168,FALSE,English
한동숙 (handongsuk),1621667925,127815,44976,12869,385250,FALSE,Korean
GamesDoneQuick,1619144100,87450,234826,6734,1724316,FALSE,English
Solary,1546597380,486510,24470,3187,493207,FALSE,French
Gotaga,1538511315,141675,81644,10750,2401580,FALSE,French
MOONMOON,1527882945,124680,24892,11220,923448,TRUE,English
DrLupo,1517612010,172350,90696,8311,4115083,FALSE,English
OgamingLoL,1483207890,496950,204491,3020,523758,FALSE,French
Myth,1479214575,134760,122552,9396,6726893,FALSE,English
Evelone192,1474742220,83010,106900,16422,1075101,FALSE,Russian
nl_Kripp,1470897720,155895,29316,9256,1379123,FALSE,English
LEC,1470431925,45660,305119,28830,973727,FALSE,English
dota2mc_ru,1464683175,66675,182869,19495,428284,FALSE,Russian
Fresh,1464179820,147660,57431,9728,3135667,FALSE,English
LCS,1461310140,31125,214124,46459,1162746,FALSE,English
ROSHTEIN,1435735725,118995,45843,11717,381918,TRUE,English
ibai,1412913285,57795,173238,22837,1894953,FALSE,Spanish
TFBlade,1394312895,141285,35833,9117,1008040,FALSE,English
Sardoche,1361024835,164235,144066,8066,746865,TRUE,French
LCK,1351758525,37140,171861,36030,934688,FALSE,English
Yassuo,1347412425,103905,70587,10531,1878416,FALSE,English
HasanAbi,1339344945,193560,44649,6543,470123,FALSE,English
BeyondTheSummit,1339097490,505080,116547,2635,923689,FALSE,English
Dota2RuHub,1330625430,92160,105359,13189,777510,FALSE,Russian
Bugha,1324519320,100470,66311,12982,2942212,FALSE,English
RocketLeague,1322448480,33540,206681,36086,1409120,FALSE,English
csgomc_ru,1308967860,77955,364816,17020,492954,FALSE,Russian
Clix,1256647110,89760,81926,12996,2035180,FALSE,English
Gorgc,1252711830,141135,56449,8683,391726,TRUE,English
서새봄냥 (saddummy),1241997345,182310,25482,6681,580794,FALSE,Korean
NoWay4u_Sir,1234567245,139920,24286,8479,383892,FALSE,German
RiotGamesBrazil,1228613130,38370,255542,25918,1011924,FALSE,Portuguese
JLTomy,1228169940,121455,42079,10053,428073,FALSE,French
SolaryFortnite,1223349555,381735,46710,3180,1478270,FALSE,French
ONSCREEN,1197130335,134880,88516,4134,918654,FALSE,English
AdmiralBahroo,1188645990,141210,21053,8152,778055,FALSE,English
Quin69,1186941750,174270,36742,6616,538532,TRUE,English
Trymacs,1184154975,107880,50957,10735,1607134,FALSE,German
dasMEHDI,1172969025,231465,47683,5013,299048,TRUE,English
sneakylol,1149209820,174885,22759,6775,1659108,FALSE,English
NickEh30,1148114400,117885,85073,9702,1660204,FALSE,English
fps_shaka,1131509385,215160,26572,5195,303671,FALSE,Japanese
LVPes,1115650275,90960,233009,12947,587677,FALSE,Spanish
Vader,1110952500,184305,16289,5913,424374,TRUE,English
forsen,1106781045,109140,33966,10080,1308165,TRUE,English
Papaplatte,1105525440,125550,42230,8546,919026,FALSE,German
StarLadder_cs_en,1088832810,32880,329195,29956,820675,FALSE,English
Symfuhny,1076179485,137400,45671,7327,2355063,TRUE,English
DreamHackCS,1052904720,314595,212201,5001,1801697,FALSE,English
Mizkif,1052047935,123120,32671,7899,591653,FALSE,English
Rainbow6,1031011170,82380,135471,11535,1501197,TRUE,English
stylishnoob4,1029543660,118515,25263,8485,354579,FALSE,Japanese
Maximilian_DOOD,1023316710,110040,43253,9235,833047,FALSE,English
Trainwreckstv,1021699920,148425,49379,7134,728097,TRUE,English
dota2ti,1017577605,6315,483530,147643,663297,FALSE,English
GRONKH,1017544335,54645,100330,17860,1216020,FALSE,German
SypherPK,1016450160,145230,130401,6553,3611359,FALSE,English
ZeratoR,1011013035,84960,262273,10516,880728,TRUE,French
SilverName,1006608690,95625,29927,10618,614395,FALSE,Russian
Sacriel,1002681105,163095,66781,5573,672403,FALSE,English
dakotaz,978947160,132615,43397,7112,4520305,FALSE,English
